"Date","Price","Open","High","Low","Change %"
"Nov 28, 2023","1.0990","1.0954","1.1010","1.0934","0.34"
"Nov 29, 2023","1.0968","1.0992","1.1018","1.0960","-0.20"
"Nov 30, 2023","1.0886","1.0971","1.0985","1.0878","-0.75"
"Dec 01, 2023","1.0881","1.0887","1.0913","1.0828","-0.05"
"Dec 04, 2023","1.0836","1.0887","1.0896","1.0804","-0.41"
"Dec 05, 2023","1.0795","1.0836","1.0848","1.0777","-0.38"
"Dec 06, 2023","1.0762","1.0793","1.0805","1.0759","-0.31"
"Dec 07, 2023","1.0792","1.0769","1.0818","1.0755","0.28"
"Dec 08, 2023","1.0761","1.0794","1.0802","1.0723","-0.29"
"Dec 11, 2023","1.0761","1.0762","1.0780","1.0741","0.00"
"Dec 12, 2023","1.0792","1.0762","1.0829","1.0759","0.29"
"Dec 13, 2023","1.0873","1.0793","1.0898","1.0773","0.75"
"Dec 14, 2023","1.0991","1.0874","1.1010","1.0872","1.09"
"Dec 15, 2023","1.0894","1.0994","1.1005","1.0889","-0.88"
"Dec 18, 2023","1.0922","1.0903","1.0932","1.0891","0.26"
"Dec 19, 2023","1.0980","1.0924","1.0988","1.0914","0.53"
"Dec 20, 2023","1.0938","1.0980","1.0985","1.0929","-0.38"
"Dec 21, 2023","1.1008","1.0941","1.1013","1.0934","0.64"
"Dec 22, 2023","1.1010","1.1010","1.1041","1.0993","0.02"
"Dec 25, 2023","1.1007","1.1017","1.1022","1.0993","-0.03"
"Dec 26, 2023","1.1042","1.1010","1.1046","1.1008","0.32"
"Dec 27, 2023","1.1108","1.1042","1.1123","1.1029","0.60"
"Dec 28, 2023","1.1061","1.1109","1.1140","1.1056","-0.42"
"","","","","",""
"","Highest:1.1140","Lowest:1.0723","Difference:0.0417","Average:1.0916","Change %:0.9860"
